"Story","Title","Result","Date","Stability","Duration (s)"
"Add Data Pasien - Admin","As a admin i want to add data pasien","SUCCESS","2022-06-23T20:30:47.1544763+07:00[Asia/Bangkok]","0.0","149.91"
"Add Data Pasien - Admin","As a admin i want to add data pasien but not gander","SUCCESS","2022-06-23T20:33:17.126505+07:00[Asia/Bangkok]","0.0","31.97"
