"Story","Title","Result","Date","Stability","Duration (s)"
"LogOut Acount - Admin","As a admin I  Logout - Yes","SUCCESS","2022-07-16T12:21:37.6069287+07:00[Asia/Bangkok]","0.0","32.04"
"LogOut Acount - Admin","As a admin I Logout - No","SUCCESS","2022-07-16T12:22:09.657879+07:00[Asia/Bangkok]","0.0","29.29"
