"Story","Title","Result","Date","Stability","Duration (s)"
"Data Dokter Admin","As a admin i want to view data dokter","SUCCESS","2022-07-18T15:38:26.6089316+07:00[Asia/Bangkok]","0.0","52.7"
"Data Dokter Admin","As a admin i want to detail data dokter","SUCCESS","2022-07-18T15:39:19.5075593+07:00[Asia/Bangkok]","0.0","31.48"
"Data Dokter Admin","As a admin i want to add data dokter - Valid","SUCCESS","2022-07-18T15:39:51.0224799+07:00[Asia/Bangkok]","0.0","46.88"
"Data Dokter Admin","As a admin i want to add data dokter - Invalid","SUCCESS","2022-07-18T15:44:25.1263376+07:00[Asia/Bangkok]","0.0","200.0"
"Data Dokter Admin","As a admin i want to edit data dokter - Valid","SUCCESS","2022-07-18T15:47:45.1463352+07:00[Asia/Bangkok]","0.0","49.74"
"Data Dokter Admin","As a admin i want to edit data dokter - Invalid","SUCCESS","2022-07-18T15:48:34.9069173+07:00[Asia/Bangkok]","0.0","326.03"
"Data Dokter Admin","As a admin i want to delete data dokter - No","SUCCESS","2022-07-18T15:54:00.9578887+07:00[Asia/Bangkok]","0.0","35.18"
"Data Dokter Admin","As a admin i want to delete data dokter - Yes","SUCCESS","2022-07-18T15:54:36.2445685+07:00[Asia/Bangkok]","0.0","37.04"
