"Story","Title","Result","Date","Stability","Duration (s)"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Valid","SUCCESS","2022-07-16T12:28:46.5308677+07:00[Asia/Bangkok]","0.0","33.81"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Valid not Gender","FAILURE","2022-07-16T12:29:20.343916+07:00[Asia/Bangkok]","0.0","23.46"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Kosong","FAILURE","2022-07-16T12:29:43.8066881+07:00[Asia/Bangkok]","0.0","170.09"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Invalid","FAILURE","2022-07-16T12:32:33.9057096+07:00[Asia/Bangkok]","0.0","138.93"
